Re,vel,Rlarge,Rsmall,rsl,amp
0,0,0.3,0.15,0.75,0.24
0.000555556,-0.00092,0.3,0.15,0.75,0.24
0.005555556,-0.014,0.3,0.15,0.75,0.24
0.055555556,-0.028,0.3,0.15,0.75,0.24
0.555555556,-0.048,0.3,0.15,0.75,0.24
1.111111111,-0.055,0.3,0.15,0.75,0.24
1.666666667,-0.06278,0.3,0.15,0.75,0.24
2.222222222,-0.06897,0.3,0.15,0.75,0.24
2.777777778,-0.0703575,0.3,0.15,0.75,0.24
3.333333333,-0.06856,0.3,0.15,0.75,0.24
4.444444444,-0.0636,0.3,0.15,0.75,0.24
5.555555556,-0.05643,0.3,0.15,0.75,0.24
8.333333333,-0.046315,0.3,0.15,0.75,0.24
11.11111111,-0.03069,0.3,0.15,0.75,0.24
16.66666667,-0.001942,0.3,0.15,0.75,0.24
22.22222222,0.010988,0.3,0.15,0.75,0.24
27.77777778,0.032,0.3,0.15,0.75,0.24
33.33333333,0.047834,0.3,0.15,0.75,0.24
41.66666667,0.076,0.3,0.15,0.75,0.24
55.55555556,0.12106,0.3,0.15,0.75,0.24
69.44444444,0.1645,0.3,0.15,0.75,0.24
83.33333333,0.20078,0.3,0.15,0.75,0.24
111.1111111,0.2921,0.3,0.15,0.75,0.24
138.8888889,0.30473,0.3,0.15,0.75,0.24
166.6666667,0.31547,0.3,0.15,0.75,0.24
194.4444444,0.24,0.3,0.15,0.75,0.24